id,Project,TeamExp,ManagerExp,YearEnd,Length,Effort,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language
39,39,1,4,88,4,847,158,59,217,18,180,3
40,40,3,3,88,16,8050,302,145,447,52,523,2
41,41,1,1,87,9,4620,451,48,499,28,464,1
42,42,2,4,87,34,2352,661,132,793,23,698,3
43,43,1,1,88,10,2174,64,54,118,25,106,1
44,44,-1,4,86,39,19894,284,230,514,50,591,1
45,45,2,1,86,18,6699,182,126,308,35,308,1
46,46,2,3,87,27,14987,173,332,505,19,424,1
47,47,2,2,88,9,4004,252,7,259,28,241,1
48,48,4,3,85,11,12824,131,180,311,51,361,1
49,49,2,3,85,8,2331,106,39,145,6,103,1
50,50,3,3,85,9,5817,96,108,204,29,192,1
51,51,2,3,85,7,2989,116,72,188,18,156,1
52,52,3,3,85,6,3136,86,49,135,32,131,1
53,53,2,3,85,17,14434,221,121,342,35,342,1
54,54,1,1,87,12,2583,61,96,157,18,130,1
55,55,1,3,86,12,3647,132,89,221,5,155,2
56,56,3,7,86,13,8232,45,387,432,16,350,2
57,57,1,1,86,12,3276,55,112,167,12,129,2
58,58,1,4,87,8,2723,124,52,176,14,139,2
59,59,3,3,87,5,3472,120,126,246,15,197,2
60,60,1,2,87,6,1575,47,32,79,14,62,2
61,61,1,1,86,12,2926,126,107,233,23,205,2
62,62,3,2,86,6,1876,101,45,146,15,117,2
63,63,1,1,86,5,2520,78,99,177,14,140,1
64,64,4,7,86,13,1603,69,74,143,14,113,1
65,65,1,3,86,8,3626,194,97,291,35,291,2
66,66,2,-1,87,10,6783,224,110,334,28,309,2
67,67,2,4,87,15,11361,323,184,507,35,507,2
68,68,1,3,86,6,1267,42,31,73,27,67,2
69,69,1,2,87,5,2548,74,43,117,25,105,2
70,70,3,4,87,10,1155,101,57,158,9,117,2
71,71,0,4,86,6,546,97,42,139,6,99,3
72,72,2,3,84,13,2275,134,77,211,13,165,2
73,73,4,5,86,26,9100,482,227,709,26,645,2
74,74,0,2,84,6,595,213,73,286,6,203,3
75,75,0,-1,84,22,3941,139,143,282,22,245,2
76,76,2,3,86,24,13860,473,182,655,40,688,2
77,77,4,4,85,12,1400,229,169,398,39,414,3
78,78,4,3,83,12,2800,227,73,300,34,297,1
79,79,4,4,82,24,9520,395,193,588,40,617,1
80,80,4,3,86,12,5880,469,176,645,43,697,3
81,81,4,4,85,36,23940,886,241,1127,34,1116,1
82,1,1,4,85,12,5152,253,52,305,34,302,1
83,2,0,0,86,4,5635,197,124,321,33,315,1
84,3,4,4,85,1,805,40,60,100,18,83,1
85,4,0,0,86,5,3829,200,119,319,30,303,1
86,5,0,0,86,4,2149,140,94,234,24,208,1
87,6,0,0,86,4,2821,97,89,186,38,192,1
88,7,2,1,85,9,2569,119,42,161,25,145,2
89,8,1,2,83,13,3913,186,52,238,25,214,1
90,9,3,1,85,12,7854,172,88,260,30,247,1
91,10,3,4,83,4,2422,78,38,116,24,103,1
92,11,4,1,84,21,4067,167,99,266,24,237,1
93,12,2,1,84,17,9051,146,112,258,40,271,1
94,13,1,1,84,3,2282,33,72,105,19,88,1
95,14,3,4,85,8,4172,162,61,223,32,216,1
96,15,4,4,85,9,4977,223,121,344,28,320,1
97,16,3,2,85,8,1617,119,48,167,26,152,2
98,17,4,3,85,8,3192,57,43,100,43,108,1
99,18,4,4,86,14,3437,68,316,384,20,326,2
100,19,3,4,87,14,4494,9,386,395,21,340,2
101,20,4,2,86,5,840,58,34,92,29,86,1
102,21,4,4,86,12,14973,318,269,587,34,581,2
103,22,2,4,85,18,5180,88,170,258,34,255,1
104,23,2,4,86,5,5775,306,132,438,37,447,1
105,24,4,1,87,20,10577,304,78,382,39,397,1
106,25,1,4,86,8,3983,89,200,289,33,283,1
107,26,4,1,85,14,3164,86,230,316,33,310,1
108,27,2,0,86,6,3542,71,235,306,37,312,1
109,28,3,1,85,14,4277,148,324,472,39,491,1
110,29,4,4,85,16,7252,116,170,286,27,263,1
111,30,4,1,85,14,3948,175,277,452,37,461,1
112,31,4,3,86,6,3927,79,128,207,27,190,1
113,32,1,1,86,9,710,145,38,183,27,168,3
114,33,4,4,87,9,2429,174,78,252,41,267,3
115,34,1,1,85,5,6405,194,91,285,35,285,1
116,35,2,2,88,3,651,126,49,175,38,180,3
117,36,1,3,86,17,9135,317,119,436,34,432,2
118,37,2,4,87,11,1435,289,88,377,28,351,3
119,38,-1,-1,87,8,5922,260,144,404,24,360,1
120,39,1,4,88,4,847,158,59,217,18,180,3
121,40,3,3,88,16,8050,302,145,447,52,523,2
122,41,1,1,87,9,4620,451,48,499,28,464,1
123,42,2,4,87,34,2352,661,132,793,23,698,3
124,43,1,1,88,10,2174,64,54,118,25,106,1
125,44,-1,4,86,39,19894,284,230,514,50,591,1
126,45,2,1,86,18,6699,182,126,308,35,308,1
127,46,2,3,87,27,14987,173,332,505,19,424,1
128,47,2,2,88,9,4004,252,7,259,28,241,1
129,48,4,3,85,11,12824,131,180,311,51,361,1
130,49,2,3,85,8,2331,106,39,145,6,103,1
131,50,3,3,85,9,5817,96,108,204,29,192,1
132,51,2,3,85,7,2989,116,72,188,18,156,1
133,52,3,3,85,6,3136,86,49,135,32,131,1
134,53,2,3,85,17,14434,221,121,342,35,342,1
135,54,1,1,87,12,2583,61,96,157,18,130,1
136,55,1,3,86,12,3647,132,89,221,5,155,2
137,56,3,7,86,13,8232,45,387,432,16,350,2
138,57,1,1,86,12,3276,55,112,167,12,129,2
139,58,1,4,87,8,2723,124,52,176,14,139,2
140,59,3,3,87,5,3472,120,126,246,15,197,2
141,60,1,2,87,6,1575,47,32,79,14,62,2
142,61,1,1,86,12,2926,126,107,233,23,205,2
143,62,3,2,86,6,1876,101,45,146,15,117,2
144,63,1,1,86,5,2520,78,99,177,14,140,1
145,64,4,7,86,13,1603,69,74,143,14,113,1
146,65,1,3,86,8,3626,194,97,291,35,291,2
147,66,2,-1,87,10,6783,224,110,334,28,309,2
148,67,2,4,87,15,11361,323,184,507,35,507,2
149,68,1,3,86,6,1267,42,31,73,27,67,2
150,69,1,2,87,5,2548,74,43,117,25,105,2
151,70,3,4,87,10,1155,101,57,158,9,117,2
152,71,0,4,86,6,546,97,42,139,6,99,3
153,72,2,3,84,13,2275,134,77,211,13,165,2
154,73,4,5,86,26,9100,482,227,709,26,645,2
155,74,0,2,84,6,595,213,73,286,6,203,3
156,75,0,-1,84,22,3941,139,143,282,22,245,2
157,76,2,3,86,24,13860,473,182,655,40,688,2
158,77,4,4,85,12,1400,229,169,398,39,414,3
159,78,4,3,83,12,2800,227,73,300,34,297,1
160,79,4,4,82,24,9520,395,193,588,40,617,1
161,80,4,3,86,12,5880,469,176,645,43,697,3
162,81,4,4,85,36,23940,886,241,1127,34,1116,1
163,1,1,4,85,12,5152,253,52,305,34,302,1
164,2,0,0,86,4,5635,197,124,321,33,315,1
165,3,4,4,85,1,805,40,60,100,18,83,1
166,4,0,0,86,5,3829,200,119,319,30,303,1
167,5,0,0,86,4,2149,140,94,234,24,208,1
168,6,0,0,86,4,2821,97,89,186,38,192,1
169,7,2,1,85,9,2569,119,42,161,25,145,2
170,8,1,2,83,13,3913,186,52,238,25,214,1
171,9,3,1,85,12,7854,172,88,260,30,247,1
172,10,3,4,83,4,2422,78,38,116,24,103,1
173,11,4,1,84,21,4067,167,99,266,24,237,1
174,12,2,1,84,17,9051,146,112,258,40,271,1
175,13,1,1,84,3,2282,33,72,105,19,88,1
176,14,3,4,85,8,4172,162,61,223,32,216,1
177,15,4,4,85,9,4977,223,121,344,28,320,1
178,16,3,2,85,8,1617,119,48,167,26,152,2
179,17,4,3,85,8,3192,57,43,100,43,108,1
180,18,4,4,86,14,3437,68,316,384,20,326,2
181,19,3,4,87,14,4494,9,386,395,21,340,2
182,20,4,2,86,5,840,58,34,92,29,86,1
183,21,4,4,86,12,14973,318,269,587,34,581,2
184,22,2,4,85,18,5180,88,170,258,34,255,1
185,23,2,4,86,5,5775,306,132,438,37,447,1
186,24,4,1,87,20,10577,304,78,382,39,397,1
187,25,1,4,86,8,3983,89,200,289,33,283,1
188,26,4,1,85,14,3164,86,230,316,33,310,1
189,27,2,0,86,6,3542,71,235,306,37,312,1
190,28,3,1,85,14,4277,148,324,472,39,491,1
191,29,4,4,85,16,7252,116,170,286,27,263,1
192,30,4,1,85,14,3948,175,277,452,37,461,1
193,31,4,3,86,6,3927,79,128,207,27,190,1
194,32,1,1,86,9,710,145,38,183,27,168,3
195,33,4,4,87,9,2429,174,78,252,41,267,3
196,34,1,1,85,5,6405,194,91,285,35,285,1
197,35,2,2,88,3,651,126,49,175,38,180,3
198,36,1,3,86,17,9135,317,119,436,34,432,2
199,37,2,4,87,11,1435,289,88,377,28,351,3
200,38,-1,-1,87,8,5922,260,144,404,24,360,1
201,39,1,4,88,4,847,158,59,217,18,180,3
202,40,3,3,88,16,8050,302,145,447,52,523,2
203,41,1,1,87,9,4620,451,48,499,28,464,1
204,42,2,4,87,34,2352,661,132,793,23,698,3
205,43,1,1,88,10,2174,64,54,118,25,106,1
206,44,-1,4,86,39,19894,284,230,514,50,591,1
207,45,2,1,86,18,6699,182,126,308,35,308,1
208,46,2,3,87,27,14987,173,332,505,19,424,1
209,47,2,2,88,9,4004,252,7,259,28,241,1
210,48,4,3,85,11,12824,131,180,311,51,361,1
211,49,2,3,85,8,2331,106,39,145,6,103,1
212,50,3,3,85,9,5817,96,108,204,29,192,1
213,51,2,3,85,7,2989,116,72,188,18,156,1
214,52,3,3,85,6,3136,86,49,135,32,131,1
215,53,2,3,85,17,14434,221,121,342,35,342,1
216,54,1,1,87,12,2583,61,96,157,18,130,1
217,55,1,3,86,12,3647,132,89,221,5,155,2
218,56,3,7,86,13,8232,45,387,432,16,350,2
219,57,1,1,86,12,3276,55,112,167,12,129,2
220,58,1,4,87,8,2723,124,52,176,14,139,2
221,59,3,3,87,5,3472,120,126,246,15,197,2
222,60,1,2,87,6,1575,47,32,79,14,62,2
223,61,1,1,86,12,2926,126,107,233,23,205,2
224,62,3,2,86,6,1876,101,45,146,15,117,2
225,63,1,1,86,5,2520,78,99,177,14,140,1
226,64,4,7,86,13,1603,69,74,143,14,113,1
227,65,1,3,86,8,3626,194,97,291,35,291,2
228,66,2,-1,87,10,6783,224,110,334,28,309,2
229,67,2,4,87,15,11361,323,184,507,35,507,2
230,68,1,3,86,6,1267,42,31,73,27,67,2
231,69,1,2,87,5,2548,74,43,117,25,105,2
232,70,3,4,87,10,1155,101,57,158,9,117,2
233,71,0,4,86,6,546,97,42,139,6,99,3
234,72,2,3,84,13,2275,134,77,211,13,165,2
235,73,4,5,86,26,9100,482,227,709,26,645,2
236,74,0,2,84,6,595,213,73,286,6,203,3
237,75,0,-1,84,22,3941,139,143,282,22,245,2
238,76,2,3,86,24,13860,473,182,655,40,688,2
239,77,4,4,85,12,1400,229,169,398,39,414,3
240,78,4,3,83,12,2800,227,73,300,34,297,1
241,79,4,4,82,24,9520,395,193,588,40,617,1
242,80,4,3,86,12,5880,469,176,645,43,697,3
243,81,4,4,85,36,23940,886,241,1127,34,1116,1
244,1,1,4,85,12,5152,253,52,305,34,302,1
245,2,0,0,86,4,5635,197,124,321,33,315,1
246,3,4,4,85,1,805,40,60,100,18,83,1
247,4,0,0,86,5,3829,200,119,319,30,303,1
248,5,0,0,86,4,2149,140,94,234,24,208,1
249,6,0,0,86,4,2821,97,89,186,38,192,1
250,7,2,1,85,9,2569,119,42,161,25,145,2
251,8,1,2,83,13,3913,186,52,238,25,214,1
252,9,3,1,85,12,7854,172,88,260,30,247,1
253,10,3,4,83,4,2422,78,38,116,24,103,1
254,11,4,1,84,21,4067,167,99,266,24,237,1
255,12,2,1,84,17,9051,146,112,258,40,271,1
256,13,1,1,84,3,2282,33,72,105,19,88,1
257,14,3,4,85,8,4172,162,61,223,32,216,1
258,15,4,4,85,9,4977,223,121,344,28,320,1
259,16,3,2,85,8,1617,119,48,167,26,152,2
260,17,4,3,85,8,3192,57,43,100,43,108,1
261,18,4,4,86,14,3437,68,316,384,20,326,2
262,19,3,4,87,14,4494,9,386,395,21,340,2
263,20,4,2,86,5,840,58,34,92,29,86,1
264,21,4,4,86,12,14973,318,269,587,34,581,2
265,22,2,4,85,18,5180,88,170,258,34,255,1
266,23,2,4,86,5,5775,306,132,438,37,447,1
267,24,4,1,87,20,10577,304,78,382,39,397,1
268,25,1,4,86,8,3983,89,200,289,33,283,1
269,26,4,1,85,14,3164,86,230,316,33,310,1
270,27,2,0,86,6,3542,71,235,306,37,312,1
271,28,3,1,85,14,4277,148,324,472,39,491,1
272,29,4,4,85,16,7252,116,170,286,27,263,1
273,30,4,1,85,14,3948,175,277,452,37,461,1
274,31,4,3,86,6,3927,79,128,207,27,190,1
275,32,1,1,86,9,710,145,38,183,27,168,3
276,33,4,4,87,9,2429,174,78,252,41,267,3
277,34,1,1,85,5,6405,194,91,285,35,285,1
278,35,2,2,88,3,651,126,49,175,38,180,3
279,36,1,3,86,17,9135,317,119,436,34,432,2
280,37,2,4,87,11,1435,289,88,377,28,351,3
281,38,-1,-1,87,8,5922,260,144,404,24,360,1
282,39,1,4,88,4,847,158,59,217,18,180,3
283,40,3,3,88,16,8050,302,145,447,52,523,2
284,41,1,1,87,9,4620,451,48,499,28,464,1
285,42,2,4,87,34,2352,661,132,793,23,698,3
286,43,1,1,88,10,2174,64,54,118,25,106,1
287,44,-1,4,86,39,19894,284,230,514,50,591,1
288,45,2,1,86,18,6699,182,126,308,35,308,1
289,46,2,3,87,27,14987,173,332,505,19,424,1
290,47,2,2,88,9,4004,252,7,259,28,241,1
291,48,4,3,85,11,12824,131,180,311,51,361,1
292,49,2,3,85,8,2331,106,39,145,6,103,1
293,50,3,3,85,9,5817,96,108,204,29,192,1
294,51,2,3,85,7,2989,116,72,188,18,156,1
295,52,3,3,85,6,3136,86,49,135,32,131,1
296,53,2,3,85,17,14434,221,121,342,35,342,1
297,54,1,1,87,12,2583,61,96,157,18,130,1
298,55,1,3,86,12,3647,132,89,221,5,155,2
299,56,3,7,86,13,8232,45,387,432,16,350,2
300,57,1,1,86,12,3276,55,112,167,12,129,2
301,58,1,4,87,8,2723,124,52,176,14,139,2
302,59,3,3,87,5,3472,120,126,246,15,197,2
303,60,1,2,87,6,1575,47,32,79,14,62,2
304,61,1,1,86,12,2926,126,107,233,23,205,2
305,62,3,2,86,6,1876,101,45,146,15,117,2
306,63,1,1,86,5,2520,78,99,177,14,140,1
307,64,4,7,86,13,1603,69,74,143,14,113,1
308,65,1,3,86,8,3626,194,97,291,35,291,2
309,66,2,-1,87,10,6783,224,110,334,28,309,2
310,67,2,4,87,15,11361,323,184,507,35,507,2
311,68,1,3,86,6,1267,42,31,73,27,67,2
312,69,1,2,87,5,2548,74,43,117,25,105,2
313,70,3,4,87,10,1155,101,57,158,9,117,2
314,71,0,4,86,6,546,97,42,139,6,99,3
315,72,2,3,84,13,2275,134,77,211,13,165,2
316,73,4,5,86,26,9100,482,227,709,26,645,2
317,74,0,2,84,6,595,213,73,286,6,203,3
318,75,0,-1,84,22,3941,139,143,282,22,245,2
319,76,2,3,86,24,13860,473,182,655,40,688,2
320,77,4,4,85,12,1400,229,169,398,39,414,3
321,78,4,3,83,12,2800,227,73,300,34,297,1
322,79,4,4,82,24,9520,395,193,588,40,617,1
323,80,4,3,86,12,5880,469,176,645,43,697,3
324,81,4,4,85,36,23940,886,241,1127,34,1116,1
325,1,1,4,85,12,5152,253,52,305,34,302,1
326,2,0,0,86,4,5635,197,124,321,33,315,1
327,3,4,4,85,1,805,40,60,100,18,83,1
328,4,0,0,86,5,3829,200,119,319,30,303,1
328,5,0,0,86,4,2149,140,94,234,24,208,1
329,6,0,0,86,4,2821,97,89,186,38,192,1
330,7,2,1,85,9,2569,119,42,161,25,145,2
331,8,1,2,83,13,3913,186,52,238,25,214,1
332,9,3,1,85,12,7854,172,88,260,30,247,1
333,10,3,4,83,4,2422,78,38,116,24,103,1
334,11,4,1,84,21,4067,167,99,266,24,237,1
335,12,2,1,84,17,9051,146,112,258,40,271,1
336,13,1,1,84,3,2282,33,72,105,19,88,1
337,14,3,4,85,8,4172,162,61,223,32,216,1
338,15,4,4,85,9,4977,223,121,344,28,320,1
339,16,3,2,85,8,1617,119,48,167,26,152,2
340,17,4,3,85,8,3192,57,43,100,43,108,1
341,18,4,4,86,14,3437,68,316,384,20,326,2
342,19,3,4,87,14,4494,9,386,395,21,340,2
343,20,4,2,86,5,840,58,34,92,29,86,1
344,21,4,4,86,12,14973,318,269,587,34,581,2
345,22,2,4,85,18,5180,88,170,258,34,255,1
346,23,2,4,86,5,5775,306,132,438,37,447,1
347,24,4,1,87,20,10577,304,78,382,39,397,1
348,25,1,4,86,8,3983,89,200,289,33,283,1
349,26,4,1,85,14,3164,86,230,316,33,310,1
350,27,2,0,86,6,3542,71,235,306,37,312,1
351,28,3,1,85,14,4277,148,324,472,39,491,1
352,29,4,4,85,16,7252,116,170,286,27,263,1
353,30,4,1,85,14,3948,175,277,452,37,461,1
354,31,4,3,86,6,3927,79,128,207,27,190,1
355,32,1,1,86,9,710,145,38,183,27,168,3
356,33,4,4,87,9,2429,174,78,252,41,267,3
357,34,1,1,85,5,6405,194,91,285,35,285,1
358,35,2,2,88,3,651,126,49,175,38,180,3
359,36,1,3,86,17,9135,317,119,436,34,432,2
360,37,2,4,87,11,1435,289,88,377,28,351,3
361,38,-1,-1,87,8,5922,260,144,404,24,360,1
362,39,1,4,88,4,847,158,59,217,18,180,3
363,40,3,3,88,16,8050,302,145,447,52,523,2
364,41,1,1,87,9,4620,451,48,499,28,464,1
365,42,2,4,87,34,2352,661,132,793,23,698,3
366,43,1,1,88,10,2174,64,54,118,25,106,1
367,44,-1,4,86,39,19894,284,230,514,50,591,1
368,45,2,1,86,18,6699,182,126,308,35,308,1
369,46,2,3,87,27,14987,173,332,505,19,424,1
370,47,2,2,88,9,4004,252,7,259,28,241,1
371,48,4,3,85,11,12824,131,180,311,51,361,1
372,49,2,3,85,8,2331,106,39,145,6,103,1
373,50,3,3,85,9,5817,96,108,204,29,192,1
374,51,2,3,85,7,2989,116,72,188,18,156,1
375,52,3,3,85,6,3136,86,49,135,32,131,1
376,53,2,3,85,17,14434,221,121,342,35,342,1
377,54,1,1,87,12,2583,61,96,157,18,130,1
378,55,1,3,86,12,3647,132,89,221,5,155,2
379,56,3,7,86,13,8232,45,387,432,16,350,2
380,57,1,1,86,12,3276,55,112,167,12,129,2
381,58,1,4,87,8,2723,124,52,176,14,139,2
382,59,3,3,87,5,3472,120,126,246,15,197,2
383,60,1,2,87,6,1575,47,32,79,14,62,2
384,61,1,1,86,12,2926,126,107,233,23,205,2
385,62,3,2,86,6,1876,101,45,146,15,117,2
386,63,1,1,86,5,2520,78,99,177,14,140,1
387,64,4,7,86,13,1603,69,74,143,14,113,1
388,65,1,3,86,8,3626,194,97,291,35,291,2
389,66,2,-1,87,10,6783,224,110,334,28,309,2
390,67,2,4,87,15,11361,323,184,507,35,507,2
391,68,1,3,86,6,1267,42,31,73,27,67,2
392,69,1,2,87,5,2548,74,43,117,25,105,2
393,70,3,4,87,10,1155,101,57,158,9,117,2
394,71,0,4,86,6,546,97,42,139,6,99,3
395,72,2,3,84,13,2275,134,77,211,13,165,2
396,73,4,5,86,26,9100,482,227,709,26,645,2
397,74,0,2,84,6,595,213,73,286,6,203,3
398,75,0,-1,84,22,3941,139,143,282,22,245,2
399,76,2,3,86,24,13860,473,182,655,40,688,2
400,77,4,4,85,12,1400,229,169,398,39,414,3
401,78,4,3,83,12,2800,227,73,300,34,297,1
402,79,4,4,82,24,9520,395,193,588,40,617,1
403,80,4,3,86,12,5880,469,176,645,43,697,3
404,81,4,4,85,36,23940,886,241,1127,34,1116,1
